laser_index++, leftRange, mleftRange, frontRange, mrightRange, rightRange
117,0.419367,0.445008,0.775655,0.810202,2.21396
118,0.386791,0.432212,0.758809,0.779743,2.20711
119,0.402624,0.422032,0.716971,0.746571,2.11372
120,0.387629,0.400502,0.692542,0.716911,2.0394
121,0.371111,0.39311,0.657176,0.710988,1.9625
122,0.362757,0.388821,0.611293,0.651441,1.87385
123,0.36345,0.365131,0.602041,0.628221,1.73789
124,0.333834,0.367875,0.557047,0.596048,1.65335
125,0.339138,0.360462,0.522553,0.555144,1.58911
126,0.323146,0.352315,0.523762,0.519381,1.48452
127,0.329934,0.341593,0.475782,0.500212,1.37074
128,0.301156,0.302187,0.413581,0.462945,1.29509
129,0.274534,0.31581,0.393395,0.439218,1.21668
130,0.27839,0.317097,0.395472,0.398299,1.12049
131,0.267617,0.289391,0.355801,0.39354,1.04145
132,0.27795,0.276516,0.355624,0.369018,1.01929
133,0.281918,0.280162,0.330053,0.364238,1.02997
134,0.285702,0.282701,0.342076,0.36461,1.01085
135,0.266003,0.275355,0.346986,0.367287,1.02468
136,0.258379,0.294968,0.358709,0.35432,1.02721
137,0.276571,0.280024,0.354154,0.358121,1.01848
138,0.262418,0.281307,0.338849,0.363891,1.02922
139,0.277985,0.292494,0.33982,0.368614,1.03572
140,0.277357,0.280432,0.35482,0.367984,1.02013
141,0.28134,0.281785,0.346711,0.348854,1.01481
142,0.264364,0.29888,0.34816,0.369692,1.04666
143,0.253981,0.28065,0.357645,0.373881,1.02271
144,0.280613,0.291482,0.329161,0.353018,1.02837
145,0.274585,0.291186,0.345438,0.35778,1.01622
146,0.271732,0.304906,0.348889,0.341147,1.03157
147,0.272635,0.278714,0.345224,0.367276,1.04251
148,0.269083,0.290135,0.349946,0.361504,1.03142
149,0.255303,0.281636,0.338675,0.358975,1.02631
150,0.277119,0.265644,0.359567,0.361797,1.01922
151,0.278016,0.295153,0.3443,0.362179,1.01533
152,0.269045,0.269666,0.352858,0.360682,1.03083
153,0.276514,0.28891,0.33143,0.382411,1.02323
154,0.276913,0.276609,0.354047,0.384119,1.04234
155,0.272778,0.277875,0.348953,0.365652,1.02923
156,0.26843,0.284451,0.341444,0.363462,1.01883
157,0.252935,0.28703,0.337002,0.360237,1.03173
158,0.269266,0.285504,0.353476,0.377177,1.02622
159,0.280737,0.293537,0.331689,0.363037,1.04557
160,0.262915,0.28047,0.345387,0.369461,1.01807
161,0.273979,0.274898,0.345871,0.357239,1.02675
162,0.291936,0.302331,0.351692,0.359816,1.04417
163,0.265516,0.281278,0.355257,0.365739,1.01887
164,0.2732,0.287156,0.345391,0.347741,1.0332
165,0.26105,0.27786,0.353732,0.359106,1.0444
166,0.260881,0.279475,0.33823,0.362624,1.033
