transX, transY
2.08966, 1.24255
2.51979, 1.68103
2.30581, 2.49476
0.848444, 0.00468921
2.09278, 0
2.1116, 1.20662
2.50385, 1.62024
2.39383, 2.48396
0.79613, 0.00274773
2.04691, 0
2.50921, 0.895132
2.52355, 1.56345
2.49944, 2.47705
0.723, 0
1.99026, 0.00556369
2.50542, 0.838599
2.50001, 1.50036
2.51441, 2.34372
0.645925, 0
1.94023, 0
2.48738, 0.792814
2.49138, 1.44258
2.50903, 2.20248
0.561163, 0
1.88683, 0.00531307
2.49316, 0.723759
2.09355, 1.38267
2.51156, 2.08544
0.474711, 0.00045837
1.83803, 0
2.50283, 0.644545
2.33756, 1.3392
2.5147, 1.98028
0.381947, 0.00764252
1.78944, 0
2.49085, 0.582057
2.32566, 1.29432
2.5026, 1.87043
0.27461, 0.0130387
1.74078, 0.00018334
2.4766, 0.518222
2.31136, 1.25175
2.49626, 1.77523
0.121658, 0
1.6938, 0.00825449
2.48812, 0.40879
2.28501, 1.21321
2.49826, 1.69275
0.00514209, 0.0203702
1.6439, 0.00369441
2.48982, 0.297368
2.24884, 1.17998
2.16765, 1.41687
1.66748, 1.11863
1.59181, 0
2.49109, 0.167644
2.48372, 1.06669
2.2456, 1.40705
1.6928, 1.1162
1.54153, 0
2.48905, 0.019574
2.49771, 1.00701
2.29474, 1.37647
1.59216, 1.05333
1.49448, 0.00895648
2.4274, 0
2.49479, 0.951885
2.31858, 1.33201
1.59613, 1.04514
1.43786, 0
2.36816, 0.0159605
2.507, 0.898936
2.31595, 1.28374
1.57088, 1.01888
1.40723, 0
2.36008, 0
2.50391, 0.86903
2.33609, 1.25435
1.57799, 0.995101
1.4198, 0.00366724
2.35466, 0
2.50108, 0.844677
2.28034, 1.20254
1.57588, 0.964194
1.44396, 0.0139106
2.35238, 0.00203921
2.49497, 0.823384
2.49346, 1.24242
1.58102, 0.934742
1.46228, 0.00591088
2.35302, 0
2.50234, 0.795809
2.49398, 1.21073
1.61344, 0.914183
1.48745, 0.00993286
2.34827, 0.012773
2.51407, 0.766285
2.49879, 1.18067
1.63143, 0.888599
1.50883, 0.00538469
2.35213, 0.00190862
2.48864, 0.755327
2.49464, 1.14772
1.68356, 0.874427
1.53013, 0.000116372
2.35395, 0
2.49304, 0.729614
2.508, 1.1207
0, 0.265898
1.55367, 0
2.35489, 0
2.49326, 0.705927
2.49861, 1.08596
0.0172097, 0.248625
1.57834, 0.000786476
2.35826, 0
2.49861, 0.679597
2.49664, 1.05363
0.0210677, 0.218273
1.5967, 0
2.34982, 0.0096701
2.50536, 0.652487
2.51599, 1.02842
0, 0.179332
1.62189, 0
2.34991, 0.00874083
2.50878, 0.626983
2.50418, 0.99266
0.00226371, 0.149487
1.64519, 0
2.35374, 0
2.50097, 0.60707
2.50188, 0.960136
0.0027082, 0.118434
1.66858, 0
2.35256, 0.000208143
2.5019, 0.582906
2.52722, 0.936996
0, 0.0841217
1.69429, 0
2.35552, 0
2.49117, 0.564615
2.48863, 0.892408
0, 0.0522132
1.72148, 0.00402557
2.35401, 0
2.50488, 0.534263
2.50355, 0.865889
0.00827036, 0.0244566
1.74636, 0.00596343
2.35838, 0
2.50305, 0.511602
2.48224, 0.827132
0.0245113, 0
1.76963, 0.00474024
2.35464, 0
2.50353, 0.48772
2.50682, 0.803793
0.122641, 0
1.794, 0.00601408
2.35635, 0
2.49381, 0.46881
2.50222, 0.770532
0.202573, 0
1.81668, 0.00420203
2.3545, 0
2.49673, 0.44359
2.49618, 0.73675
0.284887, 0
1.82876, 0
2.34928, 0.0104511
2.50243, 0.416988
2.49786, 0.705574
0.378335, 0
1.86465, 0.00613567
2.35584, 0
2.49076, 0.399046
2.5081, 0.677326
0.516694, 0.00657906
1.88448, 0
2.35109, 0.00498775
2.50281, 0.36942
2.4896, 0.639465
0.606421, 0.00499917
1.9084, 0
2.34978, 0.00928135
2.50578, 0.344356
2.50418, 0.6128
0.676997, 0
1.93627, 0.00705497
2.35988, 0
2.50811, 0.319624
2.49859, 0.579338
0.78582, 0.00133691
1.96186, 0.0106045
2.35419, 0
2.50811, 0.295997
2.5146, 0.553123
0.903282, 0.00910609
1.98002, 0
2.34395, 0.0276347
2.48244, 0.285397
2.49695, 0.515832
0.984612, 0.00509445
2.00622, 0.00459158
2.34743, 0.0187741
2.50438, 0.251505
2.48126, 0.479446
1.06886, 0.00107576
2.0267, 0
2.35793, 0
2.51527, 0.222595
2.49456, 0.452335
1.16979, 0.00305569
2.05465, 0.00575083
2.35488, 0
2.50008, 0.206429
2.49398, 0.420447
1.25433, 0
2.06645, 0
2.35719, 0
2.49123, 0.202909
2.50679, 0.414528
1.2777, 0
2.07968, 0
2.34834, 0.0122649
2.49429, 0.200293
2.51086, 0.414759
1.26687, 0
2.0811, 0
2.35175, 0.00074165
2.49641, 0.198854
2.51456, 0.41563
1.28459, 0.00547158
2.08052, 0
2.35317, 0
2.48978, 0.202049
2.4959, 0.409307
1.27135, 0.00147905
2.07918, 0
2.35683, 0
2.5073, 0.193244
2.48867, 0.406872
1.26891, 0.000789184
2.08495, 0.00840183
2.35537, 0
2.49393, 0.199923
2.50593, 0.412609
1.27717, 0.00357315
2.08323, 0.00500691
2.35053, 0.00374917
2.49507, 0.199346
2.4925, 0.408135
1.26697, 0.000188929
2.08064, 0
2.35083, 0.00282595
2.50507, 0.194336
2.50726, 0.413049
1.2608, 0
2.07852, 0
2.35557, 0
2.49428, 0.199733
2.50666, 0.412849
1.27559, 0.00305461
2.0788, 0
2.353, 0
2.49548, 0.199126
2.51044, 0.414106
1.28063, 0.00473094
2.08736, 0.0132877
2.35345, 0
2.51076, 0.191474
2.49432, 0.408743
1.25041, 0
2.07802, 0
2.35645, 0
2.49446, 0.199632
2.48447, 0.405462
1.27313, 0.00222896
2.07615, 0
2.34745, 0.0129306
2.50414, 0.194782
2.50973, 0.413872
1.26775, 0.000437012
2.08548, 0.00955752
2.35258, 0
2.50387, 0.194913
2.50401, 0.411967
1.27928, 0.00427273
2.08334, 0.00529672
2.35367, 0
2.51613, 0.188771
2.50129, 0.411064
1.26471, 0
2.09078, 0.0201685
2.35251, 0
2.49271, 0.200492
2.50215, 0.411348
1.25433, 0
2.07909, 0
2.35399, 0
2.50292, 0.195379
2.49877, 0.410225
1.26484, 0
2.08167, 0.00196007
2.35043, 0.0038947
2.49531, 0.199182
2.48569, 0.405871
1.26969, 0.00106859
2.08279, 0.00421865
2.35702, 0
2.48101, 0.206338
2.50638, 0.41276
1.27641, 0.00330576
2.08153, 0.00169297
2.3522, 0
2.50739, 0.19313
2.50723, 0.413042
1.2801, 0.00453092
2.08135, 0.00134964
2.3549, 0
2.48459, 0.204535
2.49871, 0.410207
1.26539, 0
2.08202, 0.00268606
2.34812, 0.0107626
2.5018, 0.195921
2.5058, 0.412565
1.27259, 0.0020249
2.07229, 0
2.35526, 0
2.49079, 0.201425
2.50617, 0.41269
1.25446, 0
2.07152, 0
2.35365, 0
2.49192, 0.200857
2.50224, 0.411382
1.26689, 0.000124029
2.07978, 0
2.35127, 0.00125605
2.4978, 0.197912
2.49811, 0.410008
1.27675, 0.0034037
2.08075, 0.000190603
2.34987, 0.00546859
2.5001, 0.196757
2.4834, 0.405112
1.26451, 0
2.08219, 0.00307244
2.35507, 0
2.49873, 0.197438
2.49889, 0.410269
1.26974, 0.0010638
2.07461, 0
2.34818, 0.0105067
2.50591, 0.193841
2.50977, 0.413891
1.25137, 0
2.08093, 0.000564123
2.3525, 0
2.49422, 0.199688
2.49286, 0.40826
1.27746, 0.00362888
2.07805, 0
2.35265, 0
2.48923, 0.202181
2.50335, 0.411753
1.26921, 0.000882295
2.08352, 0.00574431
2.35449, 0
2.51376, 0.189902
2.52038, 0.417424
1.25269, 0
2.08236, 0.0034384
2.35561, 0
2.49493, 0.199323
2.49531, 0.409077
1.27668, 0.00336401
2.07971, 0
2.35249, 0
2.50018, 0.196691
2.5026, 0.411503
1.26309, 0
2.08776, 0.0142314
2.35512, 0
2.49186, 0.200849
2.49106, 0.407664
1.25245, 0
2.08267, 0.00406661
2.35022, 0.00428827
2.4933, 0.200125
2.4909, 0.407609
1.26327, 0
2.08109, 0.000918211
